Index,Time,SmoothedData
0,0.0000,67.82
1,0.0100,69.25
2,0.0200,70.85
3,0.0300,72.14
4,0.0400,73.80
5,0.0500,75.00
6,0.0600,76.00
7,0.0700,76.94
8,0.0800,78.21
9,0.0900,79.35
10,0.1000,80.43
11,0.1100,82.95
12,0.1200,85.43
13,0.1300,87.52
14,0.1400,89.14
15,0.1500,90.67
16,0.1600,92.05
17,0.1700,93.00
18,0.1800,93.90
19,0.1900,94.62
20,0.2000,94.95
21,0.2100,95.00
22,0.2200,95.14
23,0.2300,94.81
24,0.2400,94.29
25,0.2500,93.10
26,0.2600,91.95
27,0.2700,90.76
28,0.2800,89.19
29,0.2900,87.05
30,0.3000,85.05
31,0.3100,82.86
32,0.3200,80.38
33,0.3300,77.86
34,0.3400,75.24
35,0.3500,72.05
36,0.3600,68.95
37,0.3700,65.90
38,0.3800,62.52
39,0.3900,59.05
40,0.4000,55.38
41,0.4100,51.90
42,0.4200,48.24
43,0.4300,44.43
44,0.4400,40.81
45,0.4500,37.52
46,0.4600,34.24
47,0.4700,31.38
48,0.4800,28.48
49,0.4900,25.71
50,0.5000,22.86
51,0.5100,19.86
52,0.5200,16.95
53,0.5300,14.57
54,0.5400,12.33
55,0.5500,10.10
56,0.5600,8.67
57,0.5700,7.24
58,0.5800,6.05
59,0.5900,5.14
60,0.6000,4.67
61,0.6100,4.33
62,0.6200,4.00
63,0.6300,4.33
64,0.6400,4.90
65,0.6500,5.33
66,0.6600,5.86
67,0.6700,7.00
68,0.6800,8.10
69,0.6900,9.43
70,0.7000,11.05
71,0.7100,13.43
72,0.7200,15.86
73,0.7300,18.33
74,0.7400,21.10
75,0.7500,23.71
76,0.7600,26.52
77,0.7700,29.43
78,0.7800,32.81
79,0.7900,35.67
80,0.8000,39.24
81,0.8100,42.57
82,0.8200,45.67
83,0.8300,49.00
84,0.8400,52.00
85,0.8500,55.38
86,0.8600,59.05
87,0.8700,62.33
88,0.8800,65.43
89,0.8900,68.67
90,0.9000,71.67
91,0.9100,74.57
92,0.9200,76.95
93,0.9300,79.33
94,0.9400,81.95
95,0.9500,84.14
96,0.9600,85.95
97,0.9700,87.81
98,0.9800,89.24
99,0.9900,90.62
100,1.0000,91.81
101,1.0100,92.57
102,1.0200,92.95
103,1.0300,93.76
104,1.0400,94.19
105,1.0500,94.14
106,1.0600,93.71
107,1.0700,93.24
108,1.0800,92.38
109,1.0900,91.24
110,1.1000,89.76
111,1.1100,88.43
112,1.1200,86.90
113,1.1300,84.90
114,1.1400,83.05
115,1.1500,80.52
116,1.1600,78.00
117,1.1700,75.62
118,1.1800,73.05
119,1.1900,70.19
120,1.2000,66.95
121,1.2100,63.71
122,1.2200,60.57
123,1.2300,57.57
124,1.2400,53.90
125,1.2500,50.14
126,1.2600,47.10
127,1.2700,43.62
128,1.2800,40.00
129,1.2900,36.86
130,1.3000,34.10
131,1.3100,31.10
132,1.3200,27.95
133,1.3300,25.00
134,1.3400,22.48
135,1.3500,19.57
136,1.3600,17.19
137,1.3700,15.14
138,1.3800,12.86
139,1.3900,11.00
140,1.4000,9.48
141,1.4100,7.90
142,1.4200,7.00
143,1.4300,6.19
144,1.4400,5.33
145,1.4500,5.05
146,1.4600,5.38
147,1.4700,5.43
148,1.4800,5.95
149,1.4900,6.86
150,1.5000,7.71
151,1.5100,8.52
152,1.5200,9.57
153,1.5300,11.05
154,1.5400,12.86
155,1.5500,14.81
156,1.5600,17.00
157,1.5700,19.62
158,1.5800,22.24
159,1.5900,25.10
160,1.6000,28.10
161,1.6100,31.00
162,1.6200,34.33
163,1.6300,37.71
164,1.6400,40.81
165,1.6500,44.14
166,1.6600,47.57
167,1.6700,50.67
168,1.6800,54.05
169,1.6900,57.29
170,1.7000,60.29
171,1.7100,63.43
172,1.7200,66.71
173,1.7300,70.19
174,1.7400,73.24
175,1.7500,75.76
176,1.7600,78.52
177,1.7700,81.43
178,1.7800,83.43
179,1.7900,85.57
180,1.8000,87.43
181,1.8100,89.14
182,1.8200,90.67
183,1.8300,92.05
184,1.8400,92.81
185,1.8500,93.57
186,1.8600,94.33
187,1.8700,94.76
188,1.8800,94.95
189,1.8900,94.43
190,1.9000,94.10
191,1.9100,93.62
192,1.9200,93.05
193,1.9300,91.95
194,1.9400,90.48
195,1.9500,88.76
196,1.9600,87.19
197,1.9700,84.90
198,1.9800,82.52
199,1.9900,80.38
200,2.0000,77.57
201,2.0100,75.05
202,2.0200,72.19
203,2.0300,69.24
204,2.0400,65.90
205,2.0500,62.71
206,2.0600,59.57
207,2.0700,56.33
208,2.0800,52.71
209,2.0900,49.29
210,2.1000,46.14
211,2.1100,42.57
212,2.1200,39.24
213,2.1300,35.71
214,2.1400,32.48
215,2.1500,29.14
216,2.1600,26.19
217,2.1700,23.19
218,2.1800,20.90
219,2.1900,18.19
220,2.2000,15.86
221,2.2100,13.86
222,2.2200,11.62
223,2.2300,9.71
224,2.2400,8.43
225,2.2500,7.14
226,2.2600,6.43
227,2.2700,5.43
228,2.2800,4.62
229,2.2900,4.71
230,2.3000,4.86
231,2.3100,5.00
232,2.3200,5.90
233,2.3300,6.67
234,2.3400,7.71
235,2.3500,9.19
236,2.3600,10.90
237,2.3700,12.52
238,2.3800,14.81
239,2.3900,16.62
240,2.4000,19.38
241,2.4100,21.76
242,2.4200,24.14
243,2.4300,27.05
244,2.4400,30.00
245,2.4500,32.81
246,2.4600,36.00
247,2.4700,39.00
248,2.4800,42.57
249,2.4900,45.90
250,2.5000,49.24
251,2.5100,52.38
252,2.5200,55.95
253,2.5300,58.90
254,2.5400,62.24
255,2.5500,65.62
256,2.5600,68.67
257,2.5700,71.71
258,2.5800,74.62
259,2.5900,77.14
260,2.6000,80.00
261,2.6100,82.14
262,2.6200,84.48
263,2.6300,86.57
264,2.6400,88.62
265,2.6500,90.14
266,2.6600,91.48
267,2.6700,92.86
268,2.6800,93.57
269,2.6900,94.19
